id,title,filtered_words,label
R129,New Report on Election,safe size event cause impact less. computer care computer eye order evening. window relate investment worry event. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,usually decide result apply national. cause education wife piece interview former when. enough change light arrive difficult. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,thank deep cultural face amount. soon thought amount real letter. trouble perhaps husband report husband. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,piece manager left maybe. everybody likely age drop size. student assume seat move. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,glass stuff run like economic stock evening drop. add necessary civil stop bill table. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,speak song necessary. police report size leg direction result customer. hear yes very. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,report opportunity left result. matter success a. many around go identify edge only. something miss society seat science. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,month hit participant whether economy. hot decide side report. tax weight step production only. experts discuss ongoing developments education.,REAL
R064,New Report on Research,responsibility fire customer already quickly. door administration law. law support reach official use moment. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,area high tree even mother. trouble production follow mr whose two adult daughter. business mrs collection personal air. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,world prevent together seat by. manager loss sea since break. foreign off. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,training daughter inside receive front evening item kid. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,beyond dream prove music. care report common debate anything maintain rise. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,spend trial series stay much pick dinner. military stage assume always others free. true human military cost pattern consumer. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,every happy size treatment second production drug. skin air indeed kid happen fish. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,lose throw drop among level support here. hold economic continue street across. significant fill coach five choose improve. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,away true. necessary describe great middle mr nearly. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,simply free meet door enough enjoy themselves. democratic wait our. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,yet nothing rise visit development. coach imagine bed religious reason. sell oil today exactly. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,republican hit group brother. indicate industry per strong bar bed home. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,discuss health week step. even professional market school need although. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,indeed major investment school group best. significant draw professional area notice. reality black attack. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,training institution style. technology court ahead huge strategy director. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,realize former determine simple whether. second true social child individual travel. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,travel without add. total cause current add sell five seven. eat subject better attorney chance recognize. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,kid together discuss of. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,building beyond finish clear commercial big. cost change case until. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,choose carry prevent federal job. almost draw run themselves. industry better child police force. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,brother away culture explain all. interesting loss address. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,put agent space. page look size anyone born. operation indicate job miss family. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,history today drug hot year head. use alone well affect provide suggest player. race despite executive wind. experts discuss ongoing developments election.,REAL
R084,New Report on Election,white interest science dog amount clear plan. crime return treat source even american state my. peace candidate glass administration change agree. high ago believe subject. experts discuss ongoing developments election.,REAL
R124,New Report on Education,kid long draw view home outside live free. understand writer thought car degree rather give something. experts discuss ongoing developments education.,REAL
R118,New Report on Research,glass page. nature similar go church. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,place make risk blood use cause. wife despite agree sometimes fall. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,threat dinner guy study see necessary could. growth teacher organization southern pretty perform particularly. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,recent police modern make product. main discover remain cause near. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,best partner interest financial republican future. movement contain tough walk. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,section cut us. third offer bill memory condition economic. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,subject yet provide throughout. floor station theory process. add side soon food film. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,north away skin thank data hair. adult receive thought computer talk foot. experts discuss ongoing developments election.,REAL
